pois,pois_category
place_of_worship,community
community_centre,community
library,community
social_facility,community
social_club,community
townhall,community
shelter,community
public_building;place_of_worship,community
private_club,community
social_centre,community
club,community
public_bookcase,community
community_hall,community
youth_centre,community
church_hall,community
leisure_centre,community
learned_society;library,community
monastery,community
village_hall,community
clubhouse,community
religious_precinct,community
community_centre;preschool,community
civic_centre,community
place_of_worship;conference_centre,community
public_hall,community
fountain,community
observatory,community
court_yard,community
garden,community
gardens,community
courtyard,community
scout,community
mobile_library,community
hall,community
social,community
scout_hall,community
Hall,community
Scout_hut,community
cadet hut,community
scout_hut,community
archives,community
youth_project,community
animal_boarding,community
archive,community
animal_shelter,community
pavilion,community
sheltered_housing,community
studio,culture_and_entertainment
theatre,culture_and_entertainment
cinema,culture_and_entertainment
arts_centre,culture_and_entertainment
music_venue,culture_and_entertainment
events_venue,culture_and_entertainment
cultural_centre,culture_and_entertainment
escape_game,culture_and_entertainment
art_gallery,culture_and_entertainment
club_house,culture_and_entertainment
art,culture_and_entertainment
concert_hall,culture_and_entertainment
studio;theatre,culture_and_entertainment
music,culture_and_entertainment
gallery,culture_and_entertainment
art_studio,culture_and_entertainment
gambling,culture_and_entertainment
livery_hall,culture_and_entertainment
casino,culture_and_entertainment
betting_shop,culture_and_entertainment
statue,culture_and_entertainment
viewing_platform,culture_and_entertainment
exhibition_centre,culture_and_entertainment
arena,culture_and_entertainment
exhibition_center,culture_and_entertainment
conference_venue,culture_and_entertainment
venue,culture_and_entertainment
wedding_venue,culture_and_entertainment
function_hall,culture_and_entertainment
planetarium,culture_and_entertainment
cafe,eatery
restaurant,eatery
fast_food,eatery
ice_cream,eatery
fast_food;restaurant,eatery
food_court,eatery
bbq,eatery
deli,eatery
canteen,eatery
juice_bar,eatery
restaurant;cafe,eatery
bar;restaurant,eatery
pizzeria,eatery
cafe;post_box,eatery
bank,economic_activity
bureau_de_change,economic_activity
conference_centre,economic_activity
shopping,economic_activity
marketplace,economic_activity
money_transfer,economic_activity
convenience_store,economic_activity
business,economic_activity
tailor,economic_activity
dry_cleaners,economic_activity
shop,economic_activity
shared_office,economic_activity
coworking_space,economic_activity
estate_agent,economic_activity
office,economic_activity
stock_exchange,economic_activity
coworking_space;cafe,economic_activity
research_institute,economic_activity
market,economic_activity
serviced_office,economic_activity
shops,economic_activity
cobbler,economic_activity
mall,economic_activity
forex,economic_activity
wholesale,economic_activity
antiques,economic_activity
credit_union,economic_activity
job_centre,economic_activity
accountants,economic_activity
solicitor,economic_activity
employment_agency,economic_activity
reprographics,economic_activity
translation_services,economic_activity
pawnbroker,economic_activity
social_security,economic_activity
school,education
college,education
driving_school,education
university,education
skills_centre,education
training,education
language_school,education
dancing_school,education
adult_education,education
education,education
music_school,education
student_accommodation,education
prep_school,education
driving_test_centre,education
trade_school,education
school_playground,education
tuition,education
cookery_school,education
student_union,education
academy,education
society,education
childcare,family
kindergarten,family
nursing_home,family
nursery,family
retirement_home,family
residential_home,family
preschool,family
Childrens Centre,family
care_home,family
children_centre,family
child_care,family
childrens_play_centre,family
telephone,misc
post_box,misc
recycling,misc
waste_basket,misc
atm,misc
toilets,misc
bench,misc
drinking_water,misc
grit_bin,misc
vending_machine,misc
notice_board,misc
water_point,misc
litter_bin,misc
sanitary_dump_station,misc
waste_transfer_station,misc
refuse_incinerator,misc
dry_cleaner,misc
water_fountain,misc
sculpture,misc
advice,misc
disused_pub,misc
old_pub,misc
former_police,misc
former_pub,misc
disused,misc
disused:pub,misc
dead_pub,misc
ticket_booth,misc
citizens_advice_bureaux,misc
crematorium,misc
prison,misc
grave_yard,misc
speed_trap,misc
formerly_cafe,misc
dog_litter_box,misc
mobile_phone_mast,misc
clock,misc
undertaker,misc
internet_cafe,misc
mobile_phone_tower,misc
cyber_cafe,misc
dead_post_office,misc
ticket_office,misc
advice_bureau,misc
pub_construction,misc
closed_toilets,misc
dog_waste_basket,misc
water_pump,misc
temporary_toilet_site,misc
disused_post_box,misc
bandstand,misc
crossing,misc
public_display_screen,misc
composting,misc
swimming_outdoor_shower_thingy,misc
shower,misc
storage,misc
information,misc
map,misc
building_society,misc
self_storage,misc
compressed_air,misc
photo_booth,misc
weighbridge,misc
vacant,misc
former_fast_food,misc
pet_waste_basket,misc
former_fuel,misc
hunting_stand,misc
telephone_exchange,misc
life_ring,misc
gate,misc
construction,misc
user_defined,misc
check_in,misc
i,misc
launderette,misc
swingerclub,misc
pole,misc
cabinet,misc
reception_desk,misc
cigarette_cafe,misc
smoking_area,misc
Samuel Court,misc
storage_rental,misc
photo,misc
shoe_shine,misc
printer,misc
printers,misc
plumber,misc
left_luggage,misc
interior,misc
tanning,misc
waiting_room,misc
warehouse,misc
locksmith,misc
buggy_parking,misc
stumps,misc
mortuary,misc
watering_place,misc
musical_instrument,misc
trolley_bay,misc
lost_property,misc
phone,misc
device_charging_station,misc
lift,misc
bell,misc
newspaper_distribution_bin,misc
post_box;telephone,misc
information_centre,misc
loading_dock,misc
ticket_validator,misc
security_control,misc
weathervane,misc
piano,misc
boot_cleaner,misc
vending_machine;post_box,misc
motorcycle_parking;telephone,misc
security,misc
mounting_block,misc
bird_hide,misc
lounge,misc
letter_box,misc
dressing_room,misc
green,misc
vicarage,misc
visa,misc
lifeboat_station,misc
stables,misc
yes,misc
camera_obscura,misc
seating,misc
bin_store,misc
residential,misc
departure_lounge,misc
arrivals_lounge,misc
vat_refund,misc
caravan_site,misc
laundrette,misc
parking,mobility
bicycle_parking,mobility
motorcycle_parking,mobility
bicycle_rental,mobility
taxi,mobility
charging_station,mobility
car_sharing,mobility
fuel,mobility
car_rental,mobility
bus_station,mobility
parking_space,mobility
parking_entrance,mobility
car_wash,mobility
bicycle_repair_station,mobility
bus_garage,mobility
minicab,mobility
van_rental,mobility
taxi_point,mobility
ferry_terminal,mobility
boat_parking,mobility
station_entrance,mobility
boat_rental,mobility
minicab_office,mobility
Minicab Office,mobility
micro_scooter_parking,mobility
scooter_parking,mobility
bicycle_pump,mobility
car_pound,mobility
parking_meter,mobility
garage,mobility
traffic_camera,mobility
Waterloo&City Line,mobility
vehicle_inspection,mobility
pub,nightlife
bar,nightlife
nightclub,nightlife
biergarten,nightlife
stripclub,nightlife
bar;nightclub,nightlife
beer_garden,nightlife
hookah_lounge,nightlife
snooker_hall,nightlife
brothel,nightlife
public_building,public_services
post_office,public_services
police,public_services
delivery_office,public_services
collection_point,public_services
waste_disposal,public_services
embassy,public_services
courthouse,public_services
post_depot,public_services
housing_office,public_services
fire_station,public_services
register_office,public_services
Housing Office,public_services
delivery_depot,public_services
consulate,public_services
postal_sorting_office,public_services
post_pickup,public_services
court_house,public_services
municipal,public_services
local government office,public_services
parliament,public_services
courier,public_services
polling_station,public_services
pharmacy,wellbeing
doctors,wellbeing
dentist,wellbeing
clinic,wellbeing
veterinary,wellbeing
hospital,wellbeing
dojo,wellbeing
spa,wellbeing
health_centre,wellbeing
ball court,wellbeing
medical_centre,wellbeing
counselling,wellbeing
swimming_pool,wellbeing
gym,wellbeing
meditation_centre,wellbeing
hospice,wellbeing
